"Country","Year","Daily_Cigarettes","Total_Smokers","Total_Female_Smokers","Total_Male_Smokers","Population","Continent","Rank","GDP","Deaths"
"Afghanistan",2002,3.7,1329825,131469,1198356,22600774,"Asia",130,179.426579211394,81.54692
"Afghanistan",2003,3.8,1390046,137947,1252098,23680871,"Asia",128,190.683814295088,80.83506
"Afghanistan",2004,3.8,1449475,144378,1305098,24726689,"Asia",129,211.382074198939,80.39753
"Afghanistan",2005,4,1504433,150483,1353950,25654274,"Asia",128,242.031313175022,79.7832
"Afghanistan",2006,4.0999999,1553745,156158,1397587,26433058,"Asia",126,263.733601866274,79.46745
"Afghanistan",2007,4.3000002,1599691,161714,1437977,27100542,"Asia",125,359.693157866109,79.44056
"Afghanistan",2008,4.4000001,1644245,167313,1476933,27722281,"Asia",125,364.6635420423,79.74432
"Afghanistan",2009,4.5999999,1691957,173446,1518511,28394806,"Asia",125,437.26874023514,79.73439
"Afghanistan",2010,4.9000001,1743624,179969,1563656,29185511,"Asia",125,543.306526178281,79.720276
"Afghanistan",2011,5.0999999,1800309,186782,1613527,30117411,"Asia",126,591.190030208565,79.84687
"Afghanistan",2012,5.1999998,1862700,193836,1668864,31161378,"Asia",126,638.845851607289,80.19942
"Albania",1990,16.4,482850,36047,446803,3286542,"Europe",65,617.230435515505,147.21635
"Albania",1991,16.299999,487892,36412,451479,3266790,"Europe",65,336.586994504629,146.24446
"Albania",1992,16.299999,489417,36574,452844,3247039,"Europe",65,200.852219772323,137.61829
"Albania",1993,16.200001,488078,36552,451527,3227287,"Europe",65,367.279225077581,129.35193
"Albania",1994,16.1,485775,36458,449317,3207536,"Europe",64,586.416339644261,118.84265
"Albania",1995,16.1,483593,36355,447238,3187784,"Europe",65,750.604449178826,119.742836
"Albania",1996,16,481723,36235,445488,3168033,"Europe",64,1009.97727483821,121.598564
"Albania",1997,16.299999,475222,35989,439233,3148281,"Europe",66,717.380047745673,120.261116
"Albania",1998,16.5,470397,35767,434630,3128530,"Europe",66,813.789396580449,117.722275
"Albania",1999,16.700001,465894,35466,430428,3108778,"Europe",66,1033.24253162418,114.757904
"Albania",2000,16.799999,461078,35035,426043,3089027,"Europe",66,1126.68334010717,113.1812
"Albania",2001,17.1,455877,34513,421364,3060173,"Europe",65,1281.6598256178,107.383705
"Albania",2002,17.4,450636,34027,416609,3051010,"Europe",65,1425.12421860142,109.250595
"Albania",2003,18.200001,434588,33277,401310,3039616,"Europe",71,1846.12012081207,113.7467
"Albania",2004,18.9,422860,33057,389803,3026939,"Europe",71,2373.58129170055,113.14623
"Albania",2005,19,426583,34169,392414,3011487,"Europe",69,2673.78658429559,108.335754
"Albania",2006,19.1,433852,35832,398020,2992547,"Europe",64,2972.74292399799,100.81164
"Albania",2007,19.200001,443830,37914,405916,2970017,"Europe",59,3595.03805682893,95.26021
"Albania",2008,19.200001,455797,40251,415547,2947314,"Europe",54,4370.5399247769,95.75404
"Albania",2009,19.299999,469352,42768,426584,2927519,"Europe",50,4114.13489916342,94.377495
"Albania",2010,19.5,481678,44575,437103,2913021,"Europe",49,4094.34838574494,93.99674
"Albania",2011,19.700001,494981,46461,448520,2905195,"Europe",47,4437.14261222684,95.48244
"Albania",2012,19.9,509040,48426,460614,2900401,"Europe",44,4247.63004748194,95.71461
"Algeria",1990,17.700001,2396876,58967,2337909,25758872,"Africa",100,2408.82298523208,143.94376
"Algeria",1991,17.6,2497165,60977,2436188,26400468,"Africa",99,1731.62136973126,140.65019
"Algeria",1992,17.4,2602202,62893,2539310,27028330,"Africa",98,1776.0282780527,137.87665
"Algeria",1993,17.299999,2714059,64808,2649251,27635517,"Africa",98,1807.29745090643,135.1183
"Algeria",1994,17.200001,2831649,66621,2765029,28213777,"Africa",96,1507.88666269017,132.64581
"Algeria",1995,17,2954172,68475,2885697,28757788,"Africa",94,1452.27843429531,129.6532
"Algeria",1996,16.799999,3081682,70447,3011235,29266415,"Africa",93,1603.9403022019,126.07164
"Algeria",1997,17,3138907,72246,3066661,29742980,"Africa",91,1619.79774865029,122.47098
"Algeria",1998,17.200001,3190250,73875,3116375,30192750,"Africa",91,1596.00392574042,118.439766
"Algeria",1999,17.4,3243047,75392,3167655,30623406,"Africa",90,1588.34890767221,115.58713
"Algeria",2000,17.5,3296121,76851,3219270,31042238,"Africa",90,1765.02714611601,111.9603
"Algeria",2001,17.700001,3344091,78444,3265647,31451513,"Africa",90,1740.60665427662,108.513
"Algeria",2002,18,3378788,80134,3298655,31855110,"Africa",89,1781.82890798394,105.266975
"Algeria",2003,18.799999,3297692,81728,3215964,32264159,"Africa",91,2103.38129106939,101.81491
"Algeria",2004,19.700001,3205753,83812,3121941,32692153,"Africa",94,2610.18542243488,99.09454
