"Country","Year","Daily Cigarettes","Total Smokers","Total Female Smokers","Total Male Smokers","Population","Continent"
"Afghanistan",1980,5.6999998,733520,81707,651813,13356500,"Asia"
"Afghanistan",1981,5.8000002,720102,79276,640826,13171679,"Asia"
"Afghanistan",1982,5.8000002,700415,76061,624355,12882518,"Asia"
"Afghanistan",1983,5.9000001,676984,72411,604572,12537732,"Asia"
"Afghanistan",1984,6,653812,68908,584905,12204306,"Asia"
"Afghanistan",1985,6.0999999,634732,65946,568786,11938204,"Asia"
"Afghanistan",1986,6.0999999,619871,63570,556301,11736177,"Asia"
"Afghanistan",1987,6.0999999,608651,61716,546936,11604538,"Asia"
"Afghanistan",1988,6,606307,60768,545540,11618008,"Asia"
"Afghanistan",1989,5.9000001,619534,61324,558210,11868873,"Asia"
"Afghanistan",1990,5.8000002,652030,63711,588319,12412311,"Asia"
"Afghanistan",1991,5.5999999,707278,68289,638989,13299016,"Asia"
"Afghanistan",1992,5.4000001,783101,74721,708380,14485543,"Asia"
"Afghanistan",1993,5.0999999,869965,82119,787847,15816601,"Asia"
"Afghanistan",1994,4.6999998,954455,89356,865100,17075728,"Asia"
"Afghanistan",1995,4.5,1028533,95703,932830,18110662,"Asia"
"Afghanistan",1996,4.3000002,1086454,100795,985659,18853444,"Asia"
"Afghanistan",1997,4.0999999,1131993,106644,1025349,19357126,"Asia"
"Afghanistan",1998,3.9000001,1163473,111314,1052159,19737770,"Asia"
"Afghanistan",1999,3.8,1192680,115541,1077138,20170847,"Asia"
"Afghanistan",2000,3.7,1228925,120114,1108812,20779957,"Asia"
"Afghanistan",2001,3.5999999,1274895,125384,1149511,21606992,"Asia"
"Afghanistan",2002,3.7,1329825,131469,1198356,22600774,"Asia"
"Afghanistan",2003,3.8,1390046,137947,1252098,23680871,"Asia"
"Afghanistan",2004,3.8,1449475,144378,1305098,24726689,"Asia"
"Afghanistan",2005,4,1504433,150483,1353950,25654274,"Asia"
"Afghanistan",2006,4.0999999,1553745,156158,1397587,26433058,"Asia"
"Afghanistan",2007,4.3000002,1599691,161714,1437977,27100542,"Asia"
"Afghanistan",2008,4.4000001,1644245,167313,1476933,27722281,"Asia"
"Afghanistan",2009,4.5999999,1691957,173446,1518511,28394806,"Asia"
"Afghanistan",2010,4.9000001,1743624,179969,1563656,29185511,"Asia"
"Afghanistan",2011,5.0999999,1800309,186782,1613527,30117411,"Asia"
"Afghanistan",2012,5.1999998,1862700,193836,1668864,31161378,"Asia"
"Albania",1980,18.700001,360902,27584,333318,2671997,"Europe"
"Albania",1981,18.4,371658,28413,343245,2726056,"Europe"
"Albania",1982,18.200001,382557,29246,353311,2784278,"Europe"
"Albania",1983,17.9,393867,30082,363785,2843960,"Europe"
"Albania",1984,17.700001,405919,30947,374972,2904429,"Europe"
"Albania",1985,17.5,418871,31869,387002,2964762,"Europe"
"Albania",1986,17.299999,433002,32809,400193,3022635,"Europe"
"Albania",1987,17,448005,33774,414231,3083605,"Europe"
"Albania",1988,16.799999,462614,34717,427897,3142336,"Europe"
"Albania",1989,16.5,474490,35487,439003,3227943,"Europe"
"Albania",1990,16.4,482850,36047,446803,3286542,"Europe"
"Albania",1991,16.299999,487892,36412,451479,3266790,"Europe"
"Albania",1992,16.299999,489417,36574,452844,3247039,"Europe"
"Albania",1993,16.200001,488078,36552,451527,3227287,"Europe"
"Albania",1994,16.1,485775,36458,449317,3207536,"Europe"
"Albania",1995,16.1,483593,36355,447238,3187784,"Europe"
"Albania",1996,16,481723,36235,445488,3168033,"Europe"
"Albania",1997,16.299999,475222,35989,439233,3148281,"Europe"
"Albania",1998,16.5,470397,35767,434630,3128530,"Europe"
"Albania",1999,16.700001,465894,35466,430428,3108778,"Europe"
"Albania",2000,16.799999,461078,35035,426043,3089027,"Europe"
"Albania",2001,17.1,455877,34513,421364,3060173,"Europe"
"Albania",2002,17.4,450636,34027,416609,3051010,"Europe"
"Albania",2003,18.200001,434588,33277,401310,3039616,"Europe"
"Albania",2004,18.9,422860,33057,389803,3026939,"Europe"
"Albania",2005,19,426583,34169,392414,3011487,"Europe"
"Albania",2006,19.1,433852,35832,398020,2992547,"Europe"
"Albania",2007,19.200001,443830,37914,405916,2970017,"Europe"
"Albania",2008,19.200001,455797,40251,415547,2947314,"Europe"
"Albania",2009,19.299999,469352,42768,426584,2927519,"Europe"
"Albania",2010,19.5,481678,44575,437103,2913021,"Europe"
"Albania",2011,19.700001,494981,46461,448520,2905195,"Europe"
"Albania",2012,19.9,509040,48426,460614,2900401,"Europe"
"Algeria",1980,19.1,1636110,44442,1591668,19221659,"Africa"
"Algeria",1981,18.9,1696285,45828,1650458,19824297,"Africa"
"Algeria",1982,18.799999,1759249,47141,1712108,20452901,"Africa"
"Algeria",1983,18.700001,1826283,48495,1777788,21101875,"Africa"
"Algeria",1984,18.5,1896411,49825,1846585,21763578,"Africa"
"Algeria",1985,18.299999,1969586,51172,1918414,22431507,"Africa"
"Algeria",1986,18.200001,2045829,52557,1993272,23102386,"Africa"
"Algeria",1987,18.1,2125295,53944,2071351,23774287,"Africa"
"Algeria",1988,18,2211486,55520,2155965,24443472,"Africa"
"Algeria",1989,17.799999,2302051,57180,2244871,25106192,"Africa"
"Algeria",1990,17.700001,2396876,58967,2337909,25758872,"Africa"
"Algeria",1991,17.6,2497165,60977,2436188,26400468,"Africa"
"Algeria",1992,17.4,2602202,62893,2539310,27028330,"Africa"
"Algeria",1993,17.299999,2714059,64808,2649251,27635517,"Africa"
"Algeria",1994,17.200001,2831649,66621,2765029,28213777,"Africa"
"Algeria",1995,17,2954172,68475,2885697,28757788,"Africa"
"Algeria",1996,16.799999,3081682,70447,3011235,29266415,"Africa"
"Algeria",1997,17,3138907,72246,3066661,29742980,"Africa"
"Algeria",1998,17.200001,3190250,73875,3116375,30192750,"Africa"
"Algeria",1999,17.4,3243047,75392,3167655,30623406,"Africa"
"Algeria",2000,17.5,3296121,76851,3219270,31042238,"Africa"
"Algeria",2001,17.700001,3344091,78444,3265647,31451513,"Africa"
"Algeria",2002,18,3378788,80134,3298655,31855110,"Africa"
