"Country","avg_daily_smokers","avg_total_smokers","avg_total_female_smokers","avg_total_male_smokers","Population","Code","Year","Continent"
"Afghanistan",5,1097508,109966,987543,38928341,"AFG",2015,"Asia"
"Albania",18,451603,35670,415934,2877800,"ALB",2015,"Europe"
"Algeria",20,2691324,73242,2618083,43851043,"DZA",2015,"Africa"
"Andorra",20,14245,5970,8276,77265,"AND",2015,"Europe"
"Angola",22,606551,44291,562260,32866268,"AGO",2015,"Africa"
"Antigua and Barbuda",68,2021,558,1463,97928,"ATG",2015,"North America"
"Argentina",19,5964149,2574222,3389927,45195777,"ARG",2015,"South America"
"Armenia",24,629531,29169,600362,2963234,"ARM",2015,"Asia"
"Australia",22,3242537,1486064,1756473,25499881,"AUS",2015,"Oceania"
"Austria",23,1875878,786186,1089692,9006400,"AUT",2015,"Europe"
"Azerbaijan",17,1139600,24610,1114990,10139175,"AZE",2015,"Asia"
"Bahamas",28,21138,5188,15951,393248,"BHS",2015,"North America"
"Bahrain",22,80049,9771,70278,1701583,"BHR",2015,"Asia"
"Bangladesh",7,17510683,545131,16965553,164689383,"BGD",2015,"Asia"
"Barbados",32,13368,2183,11185,287371,"BRB",2015,"North America"
"Belarus",20,2220761,417349,1803412,9449321,"BLR",2015,"Europe"
"Belgium",20,2416504,1034525,1381980,11589616,"BEL",2015,"Europe"
"Belize",38,12395,1106,11290,397621,"BLZ",2015,"North America"
"Benin",10,291931,45989,245942,12123198,"BEN",2015,"Africa"
"Bhutan",35,37798,6084,31714,771612,"BTN",2015,"Asia"
"Bolivia",3,1481995,457018,1024978,11673029,"BOL",2015,"South America"
"Bosnia and Herzegovina",23,1122733,442572,680162,3280815,"BIH",2015,"Europe"
"Botswana",23,130528,25052,105477,2351625,"BWA",2015,"Africa"
"Brazil",32,18734148,7526537,11207611,212559409,"BRA",2015,"South America"
"Brunei",45,24577,8681,15896,437479,"BRN",2015,"Asia"
"Bulgaria",23,2167011,812687,1354325,6948445,"BGR",2015,"Europe"
"Burkina Faso",4,677734,186464,491270,20903278,"BFA",2015,"Africa"
"Burundi",9,462372,145110,317263,11890781,"BDI",2015,"Africa"
"Cambodia",11,1409446,152507,1256940,16718971,"KHM",2015,"Asia"
"Cameroon",15,622596,70685,551911,26545864,"CMR",2015,"Africa"
"Canada",24,5688084,2649000,3039084,37742157,"CAN",2015,"North America"
"Cape Verde",10,15009,3628,11382,NA,"CPV",2015,"Africa"
"Central African Republic",16,162327,12267,150060,4829764,"CAF",2015,"Africa"
"Chad",2,285768,41176,244593,16425859,"TCD",2015,"Africa"
"Chile",10,3505269,1636927,1868343,19116209,"CHL",2015,"South America"
"China",20,244810986,15028218,229782768,1439323774,"CHN",2015,"Asia"
"Colombia",20,3155147,904751,2250397,50882884,"COL",2015,"South America"
"Comoros",4,34383,8983,25401,869595,"COM",2015,"Africa"
"Congo",17,142004,9859,132146,5518092,"COG",2015,"Africa"
"Costa Rica",27,261907,73858,188049,5094114,"CRI",2015,"North America"
"Cote d'Ivoire",23,734594,75105,659489,25070000,"CIV",2015,"Africa"
"Croatia",23,988100,412927,575173,4105268,"HRV",2015,"Europe"
"Cuba",36,1547193,547923,999271,11326616,"CUB",2015,"North America"
"Cyprus",23,182418,58675,123744,875899,"CYP",2015,"Europe"
"Czech Republic",24,2119508,894592,1224916,NA,NA,NA,NA
"Czechia",NA,NA,NA,NA,10708982,"CZE",2015,"Europe"
"Democratic Republic of Congo",8,1864141,141446,1722695,NA,"COD",2015,"Africa"
"Denmark",16,1364985,682543,682442,5792203,"DNK",2015,"Europe"
"Djibouti",13,81131,12246,68885,988002,"DJI",2015,"Africa"
"Dominica",24,2835,715,2120,71991,"DMA",2015,"North America"
"Dominican Republic",18,707873,274517,433357,10847904,"DOM",2015,"North America"
"Ecuador",18,561419,113097,448322,17643060,"ECU",2015,"South America"
"Egypt",22,6508345,176081,6332265,102334403,"EGY",2015,"Africa"
"El Salvador",17,347862,50546,297317,6486201,"SLV",2015,"North America"
"Equatorial Guinea",41,28085,1754,26331,1402985,"GNQ",2015,"Africa"
"Eritrea",36,138189,8572,129617,3546427,"ERI",2015,"Africa"
"Estonia",20,326122,104468,221654,1326539,"EST",2015,"Europe"
"Ethiopia",7,1303008,153476,1149533,114963583,"ETH",2015,"Africa"
"Fiji",18,76598,11639,64960,896444,"FJI",2015,"Oceania"
"Finland",17,892609,357766,534844,5540718,"FIN",2015,"Europe"
"France",17,14170691,5925624,8245067,65273512,"FRA",2015,"Europe"
"Gabon",17,65738,9278,56460,2225728,"GAB",2015,"Africa"
"Gambia",24,82638,2654,79985,2416664,"GMB",2015,"Africa"
"Georgia",26,872663,100028,772635,3989175,"GEO",2015,"Asia"
"Germany",20,18161842,7606787,10555056,83783945,"DEU",2015,"Europe"
"Ghana",15,450619,51405,399214,31072945,"GHA",2015,"Africa"
"Greece",25,3393812,1242020,2151792,10423056,"GRC",2015,"Europe"
"Grenada",23,5890,1483,4408,112519,"GRD",2015,"North America"
"Guatemala",11,447568,65716,381853,17915567,"GTM",2015,"North America"
"Guinea",3,281789,32777,249013,13132792,"GIN",2015,"Africa"
"Guinea-Bissau",4,46139,6904,39236,1874000,"GNB",2015,"Africa"
"Guyana",26,63025,7256,55769,786559,"GUY",2015,"South America"
"Haiti",7,424365,103766,320600,11402533,"HTI",2015,"North America"
"Honduras",18,436857,53174,383684,9904608,"HND",2015,"North America"
"Hungary",23,2540899,1064570,1476329,9660350,"HUN",2015,"Europe"
"Iceland",24,54354,25905,28450,341250,"ISL",2015,"Europe"
"India",11,99877867,8013934,91863933,1380004385,"IND",2015,"Asia"
"Indonesia",11,37367026,2009039,35357988,273523621,"IDN",2015,"Asia"
"Iran",24,4617741,430795,4186946,83992953,"IRN",2015,"Asia"
"Iraq",23,2080700,127985,1952715,40222503,"IRQ",2015,"Asia"
"Ireland",22,822468,395813,426655,4937796,"IRL",2015,"Europe"
"Israel",21,974533,391061,583472,8655541,"ISR",2015,"Asia"
"Italy",21,12556533,5032502,7524031,60461828,"ITA",2015,"Europe"
"Jamaica",16,251475,47265,204210,2961161,"JAM",2015,"North America"
"Japan",25,30447766,6068505,24379262,126476458,"JPN",2015,"Asia"
"Jordan",19,671025,100931,570095,10203140,"JOR",2015,"Asia"
"Kazakhstan",24,2283680,637886,1645794,18776707,"KAZ",2015,"Asia"
"Kenya",11,1632076,114487,1517589,53771300,"KEN",2015,"Africa"
"Kiribati",10,22537,8211,14326,128874,"KIR",2015,"Oceania"
