"Country","Total_Smokers","Population"
"Afghanistan",36217760,38928341
"Albania",14902878,2877800
"Algeria",88813685,43851043
"Andorra",470084,77265
"Angola",20016166,32866268
"Antigua and Barbuda",66668,97928
"Argentina",196816886,45195777
"Armenia",20774497,2963234
"Australia",107003699,25499881
"Austria",61903942,9006400
"Azerbaijan",37606769,10139175
"Bahamas",697531,393248
"Bahrain",2641605,1701583
"Bangladesh",577852523,164689383
"Barbados",441115,287371
"Belarus",73285089,9449321
"Belgium",79744620,11589616
"Belize",409023,397621
"Benin",9633714,12123198
"Bhutan",1247308,771612
"Bolivia",48905812,11673029
"Bosnia and Herzegovina",37050187,3280815
"Botswana",4307415,2351625
"Brazil",618226861,212559409
"Brunei",811025,437479
"Bulgaria",71511345,6948445
"Burkina Faso",22365213,20903278
"Burundi",15258270,11890781
"Cambodia",46511718,16718971
"Cameroon",20545647,26545864
"Canada",187706742,37742157
"Cape Verde",495283,587925
"Central African Republic",5356764,4829764
"Chad",9430327,16425859
"Chile",115673869,19116209
"China",8078762515,1439323774
"Colombia",104119842,50882884
"Comoros",1134628,869595
"Congo",4686127,95890000
"Costa Rica",8642920,5094114
"Cote d'Ivoire",24241585,25070000
"Croatia",32607279,4105268
"Cuba",51057364,11326616
"Cyprus",6019790,875899
"Czech Republic",69943752,10510000
"Democratic Republic of Congo",61516645,95890000
"Denmark",45044486,5792203
"Djibouti",2677305,988002
"Dominica",93541,71991
"Dominican Republic",23359804,10847904
"Ecuador",18526812,17643060
"Egypt",214775364,102334403
"El Salvador",11479423,6486201
"Equatorial Guinea",926775,1402985
"Eritrea",4560215,3546427
"Estonia",10762004,1326539
"Ethiopia",42999254,114963583
"Fiji",2527717,896444
"Finland",29456079,5540718
"France",467632781,65273512
"Gabon",2169342,2225728
"Gambia",2727033,2416664
"Georgia",28797849,3989175
"Germany",599340767,83783945
"Ghana",14870400,31072945
"Greece",111995775,10423056
"Grenada",194342,112519
"Guatemala",14769739,17915567
"Guinea",9299019,13132792
"Guinea-Bissau",1522581,1874000
"Guyana",2079802,786559
"Haiti",14004026,11402533
"Honduras",14416257,9904608
"Hungary",83849655,9660350
"Iceland",1793667,341250
"India",3295969597,1380004385
"Indonesia",1233111856,273523621
"Iran",152385423,83992953
"Iraq",68663073,40222503
"Ireland",27141427,4937796
"Israel",32159577,8655541
"Italy",414365557,60461828
"Jamaica",8298656,2961161
"Japan",1004776259,126476458
"Jordan",22143822,10203140
"Kazakhstan",75361420,18776707
"Kenya",53858492,53771300
"Kiribati",743711,133515
"Kuwait",11234012,4270563
"Kyrgyzstan",19377583,6524191
"Laos",29500728,7275556
"Latvia",19315021,1886202
"Lebanon",25294517,6825442
"Lesotho",6572419,2142252
"Liberia",3556895,5057677
"Libya",12719712,6871287
"Lithuania",21451343,2722291
"Luxembourg",3252194,625976
"Macedonia",18796739,2065000
"Madagascar",50048010,27691019
"Malawi",22153410,19129955
"Malaysia",98787460,32365998
"Maldives",950310,540542
"Mali",17789718,20250834
"Malta",2597505,441539
"Marshall Islands",182340,41050
"Mauritania",5348791,4649660
"Mauritius",5244035,1271767
"Mexico",340797799,128932753
"Micronesia",476280,113131
"Moldova",22941089,4033963
"Mongolia",11046602,3278292
"Montenegro",4221068,628062
"Morocco",77487055,36910558
"Mozambique",36036421,31255435
"Myanmar",198578532,53423198
"Namibia",5229327,2540916
"Nepal",132976375,29136808
"Netherlands",106580417,17134873
"New Zealand",22763881,4822233
"Nicaragua",10563069,6624554
"Niger",9054593,24206636
"Nigeria",137310958,206139587
"North Korea",122500719,26160821
"Norway",32978733,5421242
"Oman",3894127,5106622
"Pakistan",459137189,220892331
"Palestine",11717409,5371230
"Panama",5672219,4314768
"Papua New Guinea",37068796,8947027
"Paraguay",14250694,7132530
"Peru",54527484,32971846
"Philippines",374816602,109581085
"Poland",329797628,37846605
"Portugal",58736320,10196707
"Qatar",3089412,2881060
"Romania",156120209,19237682
"Russia",1236714972,145934460
"Rwanda",16095615,12952209
"Saint Lucia",321232,183629
"Saint Vincent and the Grenadines",214761,110947
"Samoa",875096,225681
"Sao Tome and Principe",79654,219161
"Saudi Arabia",47806285,34813867
"Senegal",15123561,16743930
"Serbia",68327677,6804596
"Seychelles",295296,98340
"Sierra Leone",14284455,7976985
"Singapore",11742068,5850343
"Slovakia",32603592,5459643
"Slovenia",13278952,2078932
"Solomon Islands",1983236,740424
"Somalia",13505820,15893219
"South Africa",172502553,59308690
"South Korea",340961989,51640000
"Spain",338351243,46754783
"Sri Lanka",52850264,21413250
"Sudan",33237268,43849269
"Suriname",629979,586634
"Swaziland",1087147,1210822
"Sweden",47941409,10099270
"Switzerland",49479752,8654618
"Syria",48794554,17500657
"Taiwan",112810219,23816775
"Tajikistan",20447783,9537642
"Tanzania",61226641,56320000
"Thailand",322416296,69799978
"Timor",4836749,1321000
"Togo",5206721,8278737
"Tonga",635943,106017
"Trinidad and Tobago",5384097,1399491
"Tunisia",45908860,11818618
"Turkey",377868283,84339067
"Turkmenistan",18134672,6342000
"Uganda",41528909,45741000
"Ukraine",398185173,43733759
"United Arab Emirates",13976536,9890400
"United Kingdom",434246602,67886004
"United States of America",1495530053,331002647
"Uruguay",21833815,3473727
"Uzbekistan",51009492,33469199
"Vanuatu",668697,319137
"Venezuela",89702959,28435943
"Vietnam",422395890,97338583
"Yemen",44819405,29825968
"Zambia",18902420,18383956
"Zimbabwe",23957017,14862927
