"Country","avg_daily_smokers","avg_total_smokers","avg_total_female_smokers","avg_total_male_smokers","Population"
"Afghanistan",5,1097508,109966,987543,38928341
"Albania",18,451603,35670,415934,2877800
"Algeria",20,2691324,73242,2618083,43851043
"Andorra",20,14245,5970,8276,77265
"Angola",22,606551,44291,562260,32866268
"Antigua and Barbuda",68,2021,558,1463,97928
"Argentina",19,5964149,2574222,3389927,45195777
"Armenia",24,629531,29169,600362,2963234
"Australia",22,3242537,1486064,1756473,25499881
"Austria",23,1875878,786186,1089692,9006400
"Azerbaijan",17,1139600,24610,1114990,10139175
"Bahamas",28,21138,5188,15951,393248
"Bahrain",22,80049,9771,70278,1701583
"Bangladesh",7,17510683,545131,16965553,164689383
"Barbados",32,13368,2183,11185,287371
"Belarus",20,2220761,417349,1803412,9449321
"Belgium",20,2416504,1034525,1381980,11589616
"Belize",38,12395,1106,11290,397621
"Benin",10,291931,45989,245942,12123198
"Bhutan",35,37798,6084,31714,771612
"Bolivia",3,1481995,457018,1024978,11673029
"Bosnia and Herzegovina",23,1122733,442572,680162,3280815
"Botswana",23,130528,25052,105477,2351625
"Brazil",32,18734148,7526537,11207611,212559409
"Brunei",45,24577,8681,15896,437479
"Bulgaria",23,2167011,812687,1354325,6948445
"Burkina Faso",4,677734,186464,491270,20903278
"Burundi",9,462372,145110,317263,11890781
"Cambodia",11,1409446,152507,1256940,16718971
"Cameroon",15,622596,70685,551911,26545864
"Canada",24,5688084,2649000,3039084,37742157
"Cape Verde",10,15009,3628,11382,NA
"Central African Republic",16,162327,12267,150060,4829764
"Chad",2,285768,41176,244593,16425859
"Chile",10,3505269,1636927,1868343,19116209
"China",20,244810986,15028218,229782768,1439323774
"Colombia",20,3155147,904751,2250397,50882884
"Comoros",4,34383,8983,25401,869595
"Congo",17,142004,9859,132146,5518092
"Costa Rica",27,261907,73858,188049,5094114
"Cote d'Ivoire",23,734594,75105,659489,25070000
"Croatia",23,988100,412927,575173,4105268
"Cuba",36,1547193,547923,999271,11326616
"Cyprus",23,182418,58675,123744,875899
"Czech Republic",24,2119508,894592,1224916,NA
"Czechia",NA,NA,NA,NA,10708982
"Democratic Republic of Congo",8,1864141,141446,1722695,NA
"Denmark",16,1364985,682543,682442,5792203
"Djibouti",13,81131,12246,68885,988002
"Dominica",24,2835,715,2120,71991
"Dominican Republic",18,707873,274517,433357,10847904
"Ecuador",18,561419,113097,448322,17643060
"Egypt",22,6508345,176081,6332265,102334403
"El Salvador",17,347862,50546,297317,6486201
"Equatorial Guinea",41,28085,1754,26331,1402985
"Eritrea",36,138189,8572,129617,3546427
"Estonia",20,326122,104468,221654,1326539
"Ethiopia",7,1303008,153476,1149533,114963583
"Fiji",18,76598,11639,64960,896444
"Finland",17,892609,357766,534844,5540718
"France",17,14170691,5925624,8245067,65273512
"Gabon",17,65738,9278,56460,2225728
"Gambia",24,82638,2654,79985,2416664
"Georgia",26,872663,100028,772635,3989175
"Germany",20,18161842,7606787,10555056,83783945
"Ghana",15,450619,51405,399214,31072945
"Greece",25,3393812,1242020,2151792,10423056
"Grenada",23,5890,1483,4408,112519
"Guatemala",11,447568,65716,381853,17915567
"Guinea",3,281789,32777,249013,13132792
"Guinea-Bissau",4,46139,6904,39236,1874000
"Guyana",26,63025,7256,55769,786559
"Haiti",7,424365,103766,320600,11402533
"Honduras",18,436857,53174,383684,9904608
"Hungary",23,2540899,1064570,1476329,9660350
"Iceland",24,54354,25905,28450,341250
"India",11,99877867,8013934,91863933,1380004385
"Indonesia",11,37367026,2009039,35357988,273523621
"Iran",24,4617741,430795,4186946,83992953
"Iraq",23,2080700,127985,1952715,40222503
"Ireland",22,822468,395813,426655,4937796
"Israel",21,974533,391061,583472,8655541
"Italy",21,12556533,5032502,7524031,60461828
"Jamaica",16,251475,47265,204210,2961161
"Japan",25,30447766,6068505,24379262,126476458
"Jordan",19,671025,100931,570095,10203140
"Kazakhstan",24,2283680,637886,1645794,18776707
"Kenya",11,1632076,114487,1517589,53771300
"Kiribati",10,22537,8211,14326,128874
"Kuwait",25,340425,17272,323154,4270563
"Kyrgyzstan",20,587200,31661,555539,6524191
"Laos",16,893962,168478,725485,7275556
"Latvia",20,585304,174001,411304,1886202
"Lebanon",25,766501,303495,463007,6825442
"Lesotho",25,199165,5517,193648,2142252
"Liberia",11,107785,8932,98854,5057677
"Libya",33,385446,19044,366403,6871287
"Lithuania",16,650041,153320,496722,2722291
"Luxembourg",20,98552,42365,56188,625976
"Macedonia",22,569599,205524,364075,2065000
"Madagascar",5,1516607,189117,1327490,27691019
"Malawi",13,671316,84261,587055,19129955
"Malaysia",19,2993560,111825,2881735,32365998
"Maldives",27,28798,5296,23502,540542
"Mali",8,539083,79912,459171,20250834
"Malta",39,78713,31006,47707,441539
"Marshall Islands",21,5526,685,4842,42050
"Mauritania",27,162085,23871,138214,4649660
"Mauritius",23,158911,12192,146719,1271767
"Mexico",13,10327207,2742088,7585120,128932753
"Micronesia",22,14433,3028,11406,113131
"Moldova",28,695185,82053,613133,4033963
"Mongolia",13,334746,37110,297636,3278292
"Montenegro",24,127912,46385,81527,628062
"Morocco",18,2348093,59257,2288837,36910558
"Mozambique",4,1092013,176552,915462,31255435
"Myanmar",23,6017532,942279,5075253,53800000
"Namibia",7,158465,47935,110531,2540916
"Nepal",7,4029588,1298340,2731248,29136808
"Netherlands",13,3229710,1479583,1750127,17134873
"New Zealand",20,689815,344101,345715,4822233
"Nicaragua",17,320093,72946,247148,6624554
"Niger",9,274382,54262,220121,24206636
"Nigeria",11,4160939,685735,3475204,206139587
"North Korea",16,3712143,248875,3463269,25970000
"Norway",8,999356,475351,524006,5421242
"Oman",39,118004,4582,113423,5106622
"Pakistan",17,13913249,1907325,12005925,220892331
"Palestine",12,355073,22161,332913,4923000
"Panama",23,171886,32289,139598,4314768
"Papua New Guinea",16,1123297,310009,813289,8947027
"Paraguay",23,431840,94767,337073,7132530
"Peru",8,1652348,432354,1219995,32971846
"Philippines",19,11358079,1759692,9598387,109581085
"Poland",23,9993868,3875657,6118212,37846605
"Portugal",22,1779889,455403,1324486,10196707
"Qatar",17,93619,1946,91673,2881060
"Romania",20,4730916,1563493,3167424,19237682
"Russia",22,37476212,9019976,28456236,145934460
"Rwanda",24,487746,119433,368314,12952209
"Saint Lucia",26,9735,2435,7300,183629
"Saint Vincent and the Grenadines",103,6508,820,5689,110947
"Samoa",22,26519,7132,19388,218764
"Sao Tome and Principe",8,2414,399,2016,219161
"Saudi Arabia",52,1448676,58498,1390178,34813867
"Senegal",18,458290,30741,427549,16743930
"Serbia",22,2070536,867945,1202592,6804596
"Seychelles",12,8949,1102,7847,98340
"Sierra Leone",6,432863,72355,360508,7976985
"Singapore",23,355821,47410,308411,5850343
"Slovakia",27,987988,314450,673539,5459643
"Slovenia",31,402393,170759,231634,2078932
"Solomon Islands",4,60099,16514,43585,707851
"Somalia",24,409268,45221,364048,15893219
"South Africa",17,5227351,1204590,4022761,59308690
"South Korea",25,10332182,959568,9372614,51640000
"Spain",22,10253068,4110059,6143010,46754783
"Sri Lanka",10,1601524,85515,1516009,21413250
"Sudan",15,1007190,141241,865950,43849269
"Suriname",119,19091,3523,15568,586634
"Swaziland",26,32944,5866,27079,1192000
"Sweden",18,1452770,767863,684908,10099270
"Switzerland",26,1499387,665351,834036,8654618
"Syria",30,1478623,261915,1216708,17500657
"Taiwan",30,3418492,289039,3129454,23816775
"Tajikistan",21,619630,52262,567369,9537642
"Tanzania",10,1855353,140068,1715286,56320000
"Thailand",14,9770191,712067,9058125,69799978
"Timor",2,146569,9151,137418,1268000
"Togo",31,157780,16559,141221,8278737
"Tonga",14,19271,5282,13990,106017
"Trinidad and Tobago",21,163155,34689,128466,1399491
"Tunisia",21,1391178,80679,1310499,11818618
"Turkey",23,11450555,3018695,8431860,84339067
"Turkmenistan",24,549536,46333,503203,6342000
"Uganda",5,1258452,149134,1109319,45741000
"Ukraine",18,12066218,2619462,9446756,43733759
"United Arab Emirates",16,423532,9075,414457,9890400
"United Kingdom",16,13158988,6562664,6596325,67886004
"United States",28,45319093,21343082,23976012,331002647
"Uruguay",20,661631,267441,394191,3473727
"Uzbekistan",20,1545743,95973,1449770,33469199
"Vanuatu",6,20264,1929,18336,319137
"Venezuela",20,2718272,897502,1820770,28435943
"Vietnam",10,12799876,705933,12093943,97338583
"Yemen",28,1358164,317065,1041099,29825968
"Zambia",8,572801,69517,503284,18383956
"Zimbabwe",23,725971,75915,650056,14862927
